=== references to DAT_18492b850 (write = assignment of the enumerator) ===
  READ from 0x180f7f15b  in FUN_180f7f01c @ 0x180f7f01c
  READ from 0x180f7f1f8  in FUN_180f7f01c @ 0x180f7f01c
  READ from 0x180eca31c  in FUN_180eca2c8 @ 0x180eca2c8
  READ from 0x180eca396  in FUN_180eca2c8 @ 0x180eca2c8
  READ from 0x180eca3b2  in FUN_180eca2c8 @ 0x180eca2c8
  READ from 0x180eca3c5  in FUN_180eca2c8 @ 0x180eca2c8
  READ from 0x180eca45e  in FUN_180eca2c8 @ 0x180eca2c8
  READ from 0x180eca46e  in FUN_180eca2c8 @ 0x180eca2c8
  READ from 0x1811a6876  in FUN_1811a67c0 @ 0x1811a67c0
  READ from 0x180a6c6e1  in FUN_180a6c6a4 @ 0x180a6c6a4
  READ from 0x1809f12ef  in FUN_1809f1268 @ 0x1809f1268
  READ from 0x18399be73  in FUN_18399bc54 @ 0x18399bc54
  READ from 0x18399dcd0  in FUN_18399dca4 @ 0x18399dca4
  READ from 0x18193d94c  in FUN_18193d914 @ 0x18193d914
  READ from 0x18193d977  in FUN_18193d914 @ 0x18193d914
  READ from 0x18193d9d2  in FUN_18193d914 @ 0x18193d914
  READ from 0x180a6d19a  in FUN_180a6cd58 @ 0x180a6cd58
  READ from 0x180a71b58  in FUN_180a71b54 @ 0x180a71b54
